Kharkiv Morozov Machine Building Design Bureau,Ukraine
Kiev Arsenal,Ukraine
Lugansk Cartridge Works,Ukraine
Malyshev Factory,Ukraine
RPC Fort (Fort),Ukraine
Ukroboronprom (Ukrainian Defense Industry),Ukraine
Yuzhnoye Design Bureau,Ukraine
Alexander Arms,USA
All American Marine Inc,USA
Alliant Techsystems (ATK),USA
Ares Defence,USA
ArmaLite,USA
"Arsenal, Inc.",USA
Barrett Firearms Manufacturing,USA
"Boeing Defense, Space & Security (Boeing)",USA
Bollinger Shipyards,USA
Bravo Company Manufacturing (BCM),USA
Browning Arms Company,USA
Bushmaster Firearms International,USA
Calico Light Weapons Systems (CLWS),USA
Caspian Arms Ltd,USA
Charles Daly,USA
Charter Arms,USA
CheyTac,USA
Colt's Manufacturing Company (CMC),USA
Daniel Defense,USA
Delta Firearms Manufacturing,USA
"Delta International Defense, Corporation",USA
Derecktor Shipyards (Derecktor),USA
Detonics,USA
Diamondback Firearms,USA
Federal Cartridge Company,USA
General Dynamics (GD),USA
Harris Gunworks,USA
Henry Repeating Arms,USA
Hi-Point Firearms,USA
High Standard Manufacturing Company,USA
Honeywell,USA
Hornady Manufacturing Company,USA
International Marxist Tendency,USA
Ithaca Gun Company,USA
JP Enterprises Inc,USA
Kahr Arms,USA
Kaman Aerospace Corporation (Kaman),USA
Kel-Tec CNC Industries Inc,USA
Kimber Manufacturing,USA
Knight's Armament Company (KAC),USA
Land Warfare Resources Corporation (LWRC),USA
LaRue Tactical,USA
Lenco Armored Vehicles,USA
Les Baer,USA
Lockheed Martin,USA
Lewis Machine and Tool (LMT),USA
McMillan Firearms Manufacturing LLC (McMillan),USA
Marlin Firearms,USA
Magnum Research Inc. (MRI),USA
Manroy USA,USA
MasterPiece Arms,USA
McBros Rifles,USA
Miku's Machine Manufacturing,USA
Navistar International Corporation (formerly International Harvester Company),USA
North American Arms,USA
Northrop Grumman,USA
"Norton Firearms, Inc",USA
Noveske Rifleworks (Noveske),USA
O.F. Mossberg & Sons,USA
Olympic Arms,USA
Oshkosh Corporation (formerly Oshkosh Truck),USA
Palmetto State Armory (PSA),USA
"Patriot Ordinance Factory ""POF-USA""",USA
Raytheon,USA
Remington Arms (Remington),USA
RND Manufacturing,USA
Rock River Arms,USA
Rockwell Collins,USA
Savage Arms,USA
Serbu Firearms,USA
Sharps Rifle Manufacturing Company,USA
Smith & Wesson (S&W),USA
Springfield Armory (former U.S. Army arsenal),USA
Springfield Armory (modern company),USA
STI International,USA
Stoeger Industries,USA
Strayer Voigt Inc,USA
"Sturm, Ruger, & Co. (Ruger)",USA
Taser International,USA
Textron,USA
Thompson,USA
Thompson Center Arms (Thompson Center),USA
THOR Global Defense Group,USA
U.S. Fire Arms Manufacturing Company (U.S. Fire Arms Mfg. Co.; USFA),USA
U.S. Ordnance,USA
U.S. Repeating Arms Company (USRAC),USA
White Sound Defense,USA
Winchester Repeating Arms Company,USA
Yankee Hill Machine (YHM),USA
Vinashin,Vietnam
